v3	V(vin)	V(vout)
2.499999999999965e+000	2.500000e+000	-2.437174e-001
2.599999999999965e+000	2.600000e+000	-2.537169e-001
2.699999999999965e+000	2.700000e+000	-2.637163e-001
2.799999999999965e+000	2.800000e+000	-2.737157e-001
2.899999999999965e+000	2.900000e+000	-2.837152e-001
2.999999999999965e+000	3.000000e+000	-2.937146e-001
3.099999999999965e+000	3.100000e+000	-3.037140e-001
3.199999999999965e+000	3.200000e+000	-3.137135e-001
3.299999999999965e+000	3.300000e+000	-3.237129e-001
3.399999999999965e+000	3.400000e+000	-3.337123e-001
3.499999999999965e+000	3.500000e+000	-3.437118e-001
3.599999999999965e+000	3.600000e+000	-3.537112e-001
3.699999999999966e+000	3.700000e+000	-3.637106e-001
3.799999999999966e+000	3.800000e+000	-3.737101e-001
3.899999999999966e+000	3.900000e+000	-3.837095e-001
3.999999999999966e+000	4.000000e+000	-3.937089e-001
4.099999999999966e+000	4.100000e+000	-4.037084e-001
4.199999999999966e+000	4.200000e+000	-4.137078e-001
4.299999999999965e+000	4.300000e+000	-4.237072e-001
4.399999999999965e+000	4.400000e+000	-4.337067e-001
4.499999999999965e+000	4.500000e+000	-4.437061e-001
4.599999999999964e+000	4.600000e+000	-4.537055e-001
4.699999999999964e+000	4.700000e+000	-4.637050e-001
4.799999999999963e+000	4.800000e+000	-4.737044e-001
4.899999999999963e+000	4.900000e+000	-4.837039e-001
4.999999999999963e+000	5.000000e+000	-4.937033e-001
5.099999999999962e+000	5.100000e+000	-5.037027e-001
5.199999999999962e+000	5.200000e+000	-5.137022e-001
5.299999999999962e+000	5.300000e+000	-5.237016e-001
5.399999999999961e+000	5.400000e+000	-5.337010e-001
5.499999999999961e+000	5.500000e+000	-5.437005e-001
5.599999999999961e+000	5.600000e+000	-5.536999e-001
5.699999999999960e+000	5.700000e+000	-5.636993e-001
5.799999999999960e+000	5.800000e+000	-5.736988e-001
5.899999999999960e+000	5.900000e+000	-5.836982e-001
5.999999999999959e+000	6.000000e+000	-5.936976e-001
6.099999999999959e+000	6.100000e+000	-6.036971e-001
6.199999999999958e+000	6.200000e+000	-6.136965e-001
6.299999999999958e+000	6.300000e+000	-6.236959e-001
6.399999999999958e+000	6.400000e+000	-6.336954e-001
6.499999999999957e+000	6.500000e+000	-6.436948e-001
6.599999999999957e+000	6.600000e+000	-6.536942e-001
6.699999999999957e+000	6.700000e+000	-6.636937e-001
6.799999999999956e+000	6.800000e+000	-6.736931e-001
6.899999999999956e+000	6.900000e+000	-6.836925e-001
6.999999999999956e+000	7.000000e+000	-6.936920e-001
7.099999999999955e+000	7.100000e+000	-7.036914e-001
7.199999999999955e+000	7.200000e+000	-7.136908e-001
7.299999999999955e+000	7.300000e+000	-7.236903e-001
7.399999999999954e+000	7.400000e+000	-7.336897e-001
7.499999999999954e+000	7.500000e+000	-7.436891e-001
7.599999999999954e+000	7.600000e+000	-7.536886e-001
7.699999999999953e+000	7.700000e+000	-7.636880e-001
7.799999999999953e+000	7.800000e+000	-7.736874e-001
7.899999999999952e+000	7.900000e+000	-7.836869e-001
7.999999999999952e+000	8.000000e+000	-7.936863e-001
8.099999999999952e+000	8.100000e+000	-8.036858e-001
8.199999999999951e+000	8.200000e+000	-8.136852e-001
