Freq.	V(vo)
Step Information: 1=1  (Run: 1/11)
2.39883291901949e-001	(2.88211808119460e+001dB,1.79774750751719e+002°)
2.45470891568503e-001	(2.88211776487206e+001dB,1.79769504078678e+002°)
2.51188643150958e-001	(2.88211743364195e+001dB,1.79764135198924e+002°)
2.57039578276886e-001	(2.88211708680171e+001dB,1.79758641266184e+002°)
2.63026799189538e-001	(2.88211672361570e+001dB,1.79753019367906e+002°)
2.69153480392691e-001	(2.88211634331357e+001dB,1.79747266523719e+002°)
2.75422870333816e-001	(2.88211594508872e+001dB,1.79741379683853e+002°)
2.81838293126445e-001	(2.88211552809651e+001dB,1.79735355727524e+002°)
2.88403150312660e-001	(2.88211509145248e+001dB,1.79729191461285e+002°)
2.95120922666638e-001	(2.88211463423053e+001dB,1.79722883617330e+002°)
3.01995172040201e-001	(2.88211415546088e+001dB,1.79716428851769e+002°)
3.09029543251359e-001	(2.88211365412808e+001dB,1.79709823742857e+002°)
3.16227766016838e-001	(2.88211312916882e+001dB,1.79703064789179e+002°)
3.23593656929628e-001	(2.88211257946966e+001dB,1.79696148407801e+002°)
3.31131121482591e-001	(2.88211200386473e+001dB,1.79689070932373e+002°)
3.38844156139202e-001	(2.88211140113320e+001dB,1.79681828611189e+002°)
3.46736850452531e-001	(2.88211076999669e+001dB,1.79674417605201e+002°)
3.54813389233575e-001	(2.88211010911663e+001dB,1.79666833985986e+002°)
3.63078054770101e-001	(2.88210941709132e+001dB,1.79659073733673e+002°)
3.71535229097172e-001	(2.88210869245305e+001dB,1.79651132734813e+002°)
3.80189396320561e-001	(2.88210793366492e+001dB,1.79643006780205e+002°)
3.89045144994280e-001	(2.88210713911763e+001dB,1.79634691562668e+002°)
3.98107170553497e-001	(2.88210630712604e+001dB,1.79626182674765e+002°)
4.07380277804112e-001	(2.88210543592560e+001dB,1.79617475606473e+002°)
4.16869383470335e-001	(2.88210452366863e+001dB,1.79608565742800e+002°)
