Freq.	V(vo)
3.38844156139202e-001	(2.89691476449252e+001dB,1.79645226121528e+002°)
3.46736850452531e-001	(2.89691397979167e+001dB,1.79636962594962e+002°)
3.54813389233575e-001	(2.89691315811053e+001dB,1.79628506601774e+002°)
3.63078054770101e-001	(2.89691229770642e+001dB,1.79619853659956e+002°)
3.71535229097172e-001	(2.89691139675453e+001dB,1.79610999183185e+002°)
3.80189396320561e-001	(2.89691045334409e+001dB,1.79601938478392e+002°)
3.89045144994280e-001	(2.89690946547429e+001dB,1.79592666743286e+002°)
3.98107170553497e-001	(2.89690843105003e+001dB,1.79583179063813e+002°)
4.07380277804112e-001	(2.89690734787749e+001dB,1.79573470411562e+002°)
4.16869383470335e-001	(2.89690621365950e+001dB,1.79563535641108e+002°)
4.26579518801592e-001	(2.89690502599063e+001dB,1.79553369487296e+002°)
4.36515832240165e-001	(2.89690378235214e+001dB,1.79542966562458e+002°)
4.46683592150962e-001	(2.89690248010659e+001dB,1.79532321353571e+002°)
4.57088189614874e-001	(2.89690111649228e+001dB,1.79521428219344e+002°)
4.67735141287197e-001	(2.89689968861740e+001dB,1.79510281387247e+002°)
4.78630092322638e-001	(2.89689819345388e+001dB,1.79498874950457e+002°)
4.89778819368445e-001	(2.89689662783099e+001dB,1.79487202864749e+002°)
5.01187233627271e-001	(2.89689498842862e+001dB,1.79475258945306e+002°)
5.12861383991364e-001	(2.89689327177022e+001dB,1.79463036863459e+002°)
5.24807460249772e-001	(2.89689147421549e+001dB,1.79450530143350e+002°)
5.37031796370252e-001	(2.89688959195258e+001dB,1.79437732158519e+002°)
5.49540873857624e-001	(2.89688762099009e+001dB,1.79424636128416e+002°)
5.62341325190348e-001	(2.89688555714860e+001dB,1.79411235114830e+002°)
5.75439937337156e-001	(2.89688339605176e+001dB,1.79397522018233e+002°)
5.88843655355588e-001	(2.89688113311709e+001dB,1.79383489574048e+002°)
6.02559586074357e-001	(2.89687876354624e+001dB,1.79369130348823e+002°)
6.16595001861481e-001	(2.89687628231481e+001dB,1.79354436736327e+002°)
6.30957344480192e-001	(2.89687368416173e+001dB,1.79339400953547e+002°)
6.45654229034654e-001	(2.89687096357814e+001dB,1.79324015036599e+002°)
6.60693448007595e-001	(2.89686811479565e+001dB,1.79308270836547e+002°)
6.76082975391981e-001	(2.89686513177421e+001dB,1.79292160015124e+002°)
6.91830970918935e-001	(2.89686200818927e+001dB,1.79275674040354e+002°)
7.07945784384137e-001	(2.89685873741838e+001dB,1.79258804182080e+002°)
7.24435960074989e-001	(2.89685531252720e+001dB,1.79241541507386e+002°)
7.41310241300916e-001	(2.89685172625483e+001dB,1.79223876875916e+002°)
7.58577575029182e-001	(2.89684797099839e+001dB,1.79205800935088e+002°)
7.76247116628690e-001	(2.89684403879696e+001dB,1.79187304115200e+002°)
7.94328234724280e-001	(2.89683992131476e+001dB,1.79168376624422e+002°)
8.12830516164098e-001	(2.89683560982343e+001dB,1.79149008443681e+002°)
8.31763771102669e-001	(2.89683109518365e+001dB,1.79129189321427e+002°)
8.51138038202375e-001	(2.89682636782576e+001dB,1.79108908768279e+002°)
8.70963589956079e-001	(2.89682141772950e+001dB,1.79088156051557e+002°)
8.91250938133744e-001	(2.89681623440287e+001dB,1.79066920189689e+002°)
9.12010839355908e-001	(2.89681080685988e+001dB,1.79045189946489e+002°)
