Freq.	V(vout)/V(vin)
1.58113883008418e+003	(1.99926297777680e+001dB,1.78567637841156e+002°)
1.61796828464813e+003	(1.99925120014563e+001dB,1.78534302015649e+002°)
1.65565560741295e+003	(1.99923886847050e+001dB,1.78500190255037e+002°)
1.69422078069600e+003	(1.99922595664264e+001dB,1.78465284558192e+002°)
1.73368425226265e+003	(1.99921243732734e+001dB,1.78429566509144e+002°)
1.77406694616787e+003	(1.99919828190643e+001dB,1.78393017267748e+002°)
1.81539027385050e+003	(1.99918346041807e+001dB,1.78355617560162e+002°)
1.85767614548585e+003	(1.99916794149370e+001dB,1.78317347669128e+002°)
1.90094698160280e+003	(1.99915169229216e+001dB,1.78278187424053e+002°)
1.94522572497139e+003	(1.99913467843061e+001dB,1.78238116190886e+002°)
1.99053585276748e+003	(1.99911686391235e+001dB,1.78197112861794e+002°)
2.03690138902055e+003	(1.99909821105125e+001dB,1.78155155844626e+002°)
2.08434691735167e+003	(1.99907868039264e+001dB,1.78112223052173e+002°)
2.13289759400795e+003	(1.99905823063055e+001dB,1.78068291891206e+002°)
2.18257916120082e+003	(1.99903681852117e+001dB,1.78023339251314e+002°)
2.23341796075480e+003	(1.99901439879219e+001dB,1.77977341493507e+002°)
2.28544094807436e+003	(1.99899092404805e+001dB,1.77930274438619e+002°)
2.33867570643598e+003	(1.99896634467073e+001dB,1.77882113355476e+002°)
2.39315046161318e+003	(1.99894060871599e+001dB,1.77832832948852e+002°)
2.44889409684222e+003	(1.99891366180480e+001dB,1.77782407347191e+002°)
2.50593616813635e+003	(1.99888544700982e+001dB,1.77730810090119e+002°)
2.56430691995681e+003	(1.99885590473654e+001dB,1.77678014115715e+002°)
2.62403730124885e+003	(1.99882497259903e+001dB,1.77623991747568e+002°)
2.68515898185125e+003	(1.99879258528997e+001dB,1.77568714681597e+002°)
2.74770436928811e+003	(1.99875867444468e+001dB,1.77512153972657e+002°)
2.81170662595173e+003	(1.99872316849890e+001dB,1.77454280020906e+002°)
2.87719968668577e+003	(1.99868599254011e+001dB,1.77395062557957e+002°)
2.94421827677793e+003	(1.99864706815200e+001dB,1.77334470632800e+002°)
3.01279793037177e+003	(1.99860631325182e+001dB,1.77272472597501e+002°)
3.08297500930739e+003	(1.99856364192034e+001dB,1.77209036092690e+002°)
3.15478672240095e+003	(1.99851896422408e+001dB,1.77144128032818e+002°)
3.22827114517326e+003	(1.99847218602935e+001dB,1.77077714591209e+002°)
3.30346724003796e+003	(1.99842320880802e+001dB,1.77009761184904e+002°)
3.38041487695989e+003	(1.99837192943428e+001dB,1.76940232459291e+002°)
3.45915485459466e+003	(1.99831823997238e+001dB,1.76869092272543e+002°)
3.53972892192067e+003	(1.99826202745467e+001dB,1.76796303679860e+002°)
3.62217980037493e+003	(1.99820317364969e+001dB,1.76721828917526e+002°)
3.70655120650457e+003	(1.99814155481982e+001dB,1.76645629386788e+002°)
3.79288787514590e+003	(1.99807704146804e+001dB,1.76567665637563e+002°)
3.88123558314344e+003	(1.99800949807341e+001dB,1.76487897351997e+002°)
3.97164117362138e+003	(1.99793878281465e+001dB,1.76406283327865e+002°)
4.06415258082047e+003	(1.99786474728151e+001dB,1.76322781461848e+002°)
4.15881885551333e+003	(1.99778723617326e+001dB,1.76237348732686e+002°)
4.25569019101186e+003	(1.99770608698384e+001dB,1.76149941184228e+002°)
4.35481794978038e+003	(1.99762112967316e+001dB,1.76060513908398e+002°)
4.45625469066870e+003	(1.99753218632390e+001dB,1.75969021028096e+002°)
4.56005419677952e+003	(1.99743907078324e+001dB,1.75875415680044e+002°)
4.66627150398493e+003	(1.99734158828904e+001dB,1.75779649997627e+002°)
4.77496293010715e+003	(1.99723953507966e+001dB,1.75681675093719e+002°)
4.88618610477902e+003	(1.99713269798689e+001dB,1.75581441043549e+002°)
4.99999999999997e+003	(1.99702085401136e+001dB,1.75478896867626e+002°)
5.11646496140374e+003	(1.99690376987970e+001dB,1.75373990514752e+002°)
5.23564274025446e+003	(1.99678120158270e+001dB,1.75266668845168e+002°)
5.35759652618800e+003	(1.99665289389391e+001dB,1.75156877613862e+002°)
5.48239098071589e+003	(1.99651857986782e+001dB,1.75044561454085e+002°)
5.61009227150978e+003	(1.99637798031696e+001dB,1.74929663861117e+002°)
5.74076810748438e+003	(1.99623080326705e+001dB,1.74812127176337e+002°)
5.87448777469761e+003	(1.99607674338962e+001dB,1.74691892571634e+002°)
6.01132217308702e+003	(1.99591548141108e+001dB,1.74568900034241e+002°)
6.15134385406187e+003	(1.99574668349763e+001dB,1.74443088352020e+002°)
6.29462705897079e+003	(1.99557000061507e+001dB,1.74314395099290e+002°)
6.44124775846563e+003	(1.99538506786283e+001dB,1.74182756623249e+002°)
6.59128369278199e+003	(1.99519150378126e+001dB,1.74048108031078e+002°)
6.74481441295822e+003	(1.99498890963144e+001dB,1.73910383177796e+002°)
