Freq.	V(vout)/V(v1)
3.98107170553498e+003	(1.88806499706357e+001dB,-2.51916245510325e+000°)
5.01187233627273e+003	(1.88762405055833e+001dB,-3.17042444149479e+000°)
6.30957344480194e+003	(1.88692610750450e+001dB,-3.98930948487050e+000°)
7.94328234724283e+003	(1.88582222044561e+001dB,-5.01822581000810e+000°)
1.00000000000000e+004	(1.88407836880934e+001dB,-6.30958786025132e+000°)
1.25892541179417e+004	(1.88132872453079e+001dB,-7.92746839533536e+000°)
1.58489319246112e+004	(1.87700595896360e+001dB,-9.94880873975656e+000°)
1.99526231496888e+004	(1.87024122219232e+001dB,-1.24633385214336e+001°)
2.51188643150958e+004	(1.85972976419941e+001dB,-1.55706574317181e+001°)
3.16227766016839e+004	(1.84357119826865e+001dB,-1.93720069130369e+001°)
3.98107170553498e+004	(1.81912509096119e+001dB,-2.39535843706280e+001°)
5.01187233627273e+004	(1.78297832377275e+001dB,-2.93592705336467e+001°)
6.30957344480195e+004	(1.73117952006197e+001dB,-3.55558822754442e+001°)
7.94328234724283e+004	(1.65987758838272e+001dB,-4.24047565830963e+001°)
1.00000000000000e+005	(1.56629475453320e+001dB,-4.96632628434902e+001°)
1.25892541179417e+005	(1.44961264146089e+001dB,-5.70328553939737e+001°)
1.58489319246112e+005	(1.31120837695493e+001dB,-6.42399236528941e+001°)
1.99526231496888e+005	(1.15405182113119e+001dB,-7.11079021823529e+001°)
2.51188643150959e+005	(9.81646225807301e+000dB,-7.75867978797998e+001°)
3.16227766016839e+005	(7.97064300077611e+000dB,-8.37395471695930e+001°)
3.98107170553498e+005	(6.02354686011907e+000dB,-8.97063781452475e+001°)
5.01187233627273e+005	(3.98280844177396e+000dB,-9.56659342074803e+001°)
6.30957344480195e+005	(1.84251972726794e+000dB,-1.01799354157448e+002°)
7.94328234724283e+005	(-4.16249527505744e-001dB,-1.08254649327951e+002°)
1.00000000000000e+006	(-2.82316384961711e+000dB,-1.15108156613825e+002°)
1.25892541179417e+006	(-5.41318067419038e+000dB,-1.22327744521157e+002°)
1.58489319246112e+006	(-8.21731421700633e+000dB,-1.29755102237790e+002°)
1.99526231496888e+006	(-1.12518861504603e+001dB,-1.37129186216346e+002°)
2.51188643150959e+006	(-1.45116070670007e+001dB,-1.44154333193825e+002°)
3.16227766016839e+006	(-1.79708407351848e+001dB,-1.50582809494304e+002°)
3.98107170553498e+006	(-2.15919261396599e+001dB,-1.56268941185815e+002°)
5.01187233627274e+006	(-2.53351144089111e+001dB,-1.61176508275453e+002°)
6.30957344480195e+006	(-2.91655097732091e+001dB,-1.65353247902784e+002°)
7.94328234724284e+006	(-3.30559063791339e+001dB,-1.68896491975416e+002°)
1.00000000000000e+007	(-3.69867549718356e+001dB,-1.71925345253865e+002°)
1.25892541179417e+007	(-4.09448662405826e+001dB,-1.74563639117796e+002°)
1.58489319246112e+007	(-4.49219140258383e+001dB,-1.76931933360449e+002°)
1.99526231496889e+007	(-4.89132267347079e+001dB,-1.79145416545952e+002°)
2.51188643150959e+007	(-5.29170198063169e+001dB,1.78684919717410e+002°)
3.16227766016839e+007	(-5.69340891783794e+001dB,1.76449612236739e+002°)
3.98107170553499e+007	(-6.09679632244216e+001dB,1.74037787337157e+002°)
5.01187233627274e+007	(-6.50255297451884e+001dB,1.71335050457453e+002°)
6.30957344480195e+007	(-6.91181662897910e+001dB,1.68223621785043e+002°)
7.94328234724284e+007	(-7.32633524622314e+001dB,1.64586852263123e+002°)
1.00000000000000e+008	(-7.74865537274917e+001dB,1.60321084034460e+002°)
