Freq.	V(vout)/V(v1)
5.01187233627274e+005	(-6.62338325097241e-001dB,7.94274260362898e+001°)
6.30957344480196e+005	(-2.83343960608604e+000dB,7.44163704822291e+001°)
7.94328234724285e+005	(-5.10317536605691e+000dB,6.88836670053908e+001°)
1.00000000000000e+006	(-7.50537732101859e+000dB,6.27761209056454e+001°)
1.25892541179417e+006	(-1.00777704750782e+001dB,5.61419285258181e+001°)
1.58489319246112e+006	(-1.28536217821318e+001dB,4.91504750369716e+001°)
1.99526231496889e+006	(-1.58511270305963e+001dB,4.20743629144721e+001°)
2.51188643150959e+006	(-1.90656426185965e+001dB,3.52259828204443e+001°)
3.16227766016839e+006	(-2.24694944110170e+001dB,2.88748563923528e+001°)
3.98107170553499e+006	(-2.60188921853387e+001dB,2.31890970802754e+001°)
5.01187233627275e+006	(-2.96626515777084e+001dB,1.82234592251975e+001°)
6.30957344480196e+006	(-3.33476550423718e+001dB,1.39432051491055e+001°)
7.94328234724285e+006	(-3.70194750031761e+001dB,1.02598977393612e+001°)
1.00000000000000e+007	(-4.06194363645578e+001dB,7.06252776506933e+000°)
1.25892541179417e+007	(-4.40806081865304e+001dB,4.23868135157303e+000°)
1.58489319246112e+007	(-4.73258463875156e+001dB,1.68633801246255e+000°)
1.99526231496889e+007	(-5.02715623198113e+001dB,-6.82721006921840e-001°)
2.51188643150959e+007	(-5.28400550925797e+001dB,-2.94832886765939e+000°)
3.16227766016839e+007	(-5.49788335856440e+001dB,-5.19524486561922e+000°)
3.98107170553499e+007	(-5.66783601372228e+001dB,-7.52767413806339e+000°)
5.01187233627275e+007	(-5.79771929645020e+001dB,-1.00746115682670e+001°)
6.30957344480196e+007	(-5.89512591450518e+001dB,-1.29816013583512e+001°)
7.94328234724286e+007	(-5.96951740532823e+001dB,-1.63938707508430e+001°)
1.00000000000001e+008	(-6.03063772396117e+001dB,-2.04363478928962e+001°)
1.25892541179417e+008	(-6.08767722675727e+001dB,-2.51898110671562e+001°)
1.58489319246112e+008	(-6.14896595803257e+001dB,-3.06606147446917e+001°)
1.99526231496889e+008	(-6.22170913185827e+001dB,-3.67494109380622e+001°)
2.51188643150959e+008	(-6.31144255392469e+001dB,-4.32374892157617e+001°)
3.16227766016840e+008	(-6.42132187915648e+001dB,-4.98133910601381e+001°)
3.98107170553499e+008	(-6.55174661283272e+001dB,-5.61423116166585e+001°)
5.01187233627275e+008	(-6.70073312544622e+001dB,-6.19469274681357e+001°)
6.30957344480197e+008	(-6.86490579717206e+001dB,-6.70576207577830e+001°)
7.94328234724286e+008	(-7.04056999735679e+001dB,-7.14159932902888e+001°)
1.00000000000001e+009	(-7.22443754155779e+001dB,-7.50468754730834e+001°)
1.25892541179417e+009	(-7.41392303984110e+001dB,-7.80227036861520e+001°)
1.58489319246112e+009	(-7.60714797856598e+001dB,-8.04349289597572e+001°)
1.99526231496889e+009	(-7.80281517913151e+001dB,-8.23761418403037e+001°)
2.51188643150960e+009	(-8.00005775653776e+001dB,-8.39309650413709e+001°)
3.16227766016840e+009	(-8.19830840886810e+001dB,-8.51725415147305e+001°)
3.98107170553500e+009	(-8.39720081676590e+001dB,-8.61620656530032e+001°)
5.01187233627275e+009	(-8.59650044073577e+001dB,-8.69497382173705e+001°)
6.30957344480197e+009	(-8.79605792100575e+001dB,-8.75762464942051e+001°)
7.94328234724287e+009	(-8.99577846561219e+001dB,-8.80743204960113e+001°)
1.00000000000001e+010	(-9.19560204377592e+001dB,-8.84701659285167e+001°)
1.25892541179418e+010	(-9.39549069031099e+001dB,-8.87847030716515e+001°)
1.58489319246112e+010	(-9.59542041556458e+001dB,-8.90346019305485e+001°)
1.99526231496889e+010	(-9.79537606904031e+001dB,-8.92331302850862e+001°)
2.51188643150960e+010	(-9.99534808582347e+001dB,-8.93908403146300e+001°)
3.16227766016840e+010	(-1.01953304286311e+002dB,-8.95161205368594e+001°)
3.98107170553500e+010	(-1.03953192873073e+002dB,-8.96156375093040e+001°)
5.01187233627276e+010	(-1.05953122574524e+002dB,-8.96946883317655e+001°)
6.30957344480198e+010	(-1.07953078218523e+002dB,-8.97574814747581e+001°)
7.94328234724287e+010	(-1.09953050231533e+002dB,-8.98073602635608e+001°)
1.00000000000000e+011	(-1.11953032572838e+002dB,-8.98469806055133e+001°)
