Freq.	V(vin)/I(R1)
1.99526231496888e+003	(8.79588113735979e+001dB,1.16868612087482e-002°)
2.51188643150959e+003	(8.79588126110418e+001dB,1.47128914609602e-002°)
3.16227766016839e+003	(8.79588145722693e+001dB,1.85224427200741e-002°)
3.98107170553498e+003	(8.79588176806329e+001dB,2.33183933396807e-002°)
5.01187233627273e+003	(8.79588226071265e+001dB,2.93561568649661e-002°)
6.30957344480195e+003	(8.79588304152667e+001dB,3.69572895343855e-002°)
7.94328234724283e+003	(8.79588427907720e+001dB,4.65266258879681e-002°)
1.00000000000000e+004	(8.79588624057238e+001dB,5.85738607458180e-002°)
1.25892541179417e+004	(8.79588934960848e+001dB,7.37407382874234e-002°)
1.58489319246112e+004	(8.79589427779123e+001dB,9.28353188516189e-002°)
1.99526231496889e+004	(8.79590209017417e+001dB,1.16875193374576e-001°)
2.51188643150959e+004	(8.79591447633624e+001dB,1.47142036079999e-001°)
3.16227766016839e+004	(8.79593411805472e+001dB,1.85250576585160e-001°)
3.98107170553498e+004	(8.79596527564257e+001dB,2.33236008964041e-001°)
5.01187233627274e+004	(8.79601472630447e+001dB,2.93665158772218e-001°)
6.30957344480195e+004	(8.79609327409897e+001dB,3.69778589746746e-001°)
7.94328234724284e+004	(8.79621820015514e+001dB,4.65673520605426e-001°)
1.00000000000000e+005	(8.79641728897736e+001dB,5.86541202737299e-001°)
1.25892541179417e+005	(8.79673556703317e+001dB,7.38977005971870e-001°)
1.58489319246112e+005	(8.79724687234744e+001dB,9.31383823308989e-001°)
1.99526231496889e+005	(8.79807438976371e+001dB,1.17447533575764e+000°)
2.51188643150959e+005	(8.79942854769045e+001dB,1.48179972814606e+000°)
3.16227766016839e+005	(8.80167964975509e+001dB,1.86984382566166e+000°)
3.98107170553499e+005	(8.80549992590830e+001dB,2.35592687582562e+000°)
5.01187233627274e+005	(8.81213074999120e+001dB,2.94737237627863e+000°)
6.30957344480196e+005	(8.82377221111925e+001dB,3.60092528677397e+000°)
7.94328234724285e+005	(8.84345640117904e+001dB,4.10411986668966e+000°)
1.00000000000000e+006	(8.87135603145282e+001dB,3.90118161229793e+000°)
1.25892541179417e+006	(8.89585973476453e+001dB,2.45201705066036e+000°)
1.58489319246112e+006	(8.90116452157027e+001dB,4.03091152078990e-001°)
1.99526231496889e+006	(8.89101733152297e+001dB,-1.11849987369525e+000°)
2.51188643150959e+006	(8.87710026047262e+001dB,-1.94595258565473e+000°)
3.16227766016839e+006	(8.86425635831044e+001dB,-2.36357918740660e+000°)
3.98107170553499e+006	(8.85286199828717e+001dB,-2.57370869895405e+000°)
5.01187233627275e+006	(8.84238122382008e+001dB,-2.65387102724226e+000°)
6.30957344480196e+006	(8.83258824820193e+001dB,-2.62074079704729e+000°)
7.94328234724285e+006	(8.82369530524812e+001dB,-2.48061250264142e+000°)
1.00000000000000e+007	(8.81608514279721e+001dB,-2.25367095600669e+000°)
1.25892541179417e+007	(8.81000873127294e+001dB,-1.97438880967599e+000°)
1.58489319246112e+007	(8.80545880698932e+001dB,-1.67952324744412e+000°)
1.99526231496889e+007	(8.80222505356538e+001dB,-1.39743398837425e+000°)
2.51188643150959e+007	(8.80001439353245e+001dB,-1.14460256737390e+000°)
