time	V(vin)	V(vout)
2.955764643914275e-002	1.385226e-001	-1.297044e-001
2.956374995476776e-002	1.366234e-001	-1.278055e-001
2.972466626564963e-002	8.639082e-002	-7.758870e-002
2.972920190549250e-002	8.497114e-002	-7.797865e-002
2.973035626674538e-002	8.460980e-002	-7.808290e-002
2.973043324016458e-002	8.458570e-002	-7.791883e-002
2.973058718700298e-002	8.453751e-002	-7.737211e-002
2.973082918587746e-002	8.446176e-002	-7.636963e-002
2.973110583688281e-002	8.437516e-002	-7.578903e-002
2.973138585884814e-002	8.428750e-002	-7.556152e-002
2.973181552637895e-002	8.415300e-002	-7.534941e-002
2.997363242890703e-002	8.283522e-003	5.163027e-004
3.000206115203234e-002	-6.475300e-004	9.446206e-003
3.010069141593647e-002	-3.170184e-002	4.049663e-002
3.019932167984061e-002	-6.265174e-002	7.144282e-002
3.029795194374475e-002	-9.349721e-002	1.022848e-001
3.039658220764888e-002	-1.242383e-001	1.330225e-001
3.049521247155302e-002	-1.548749e-001	1.636560e-001
3.059384273545716e-002	-1.854071e-001	1.941852e-001
3.069247299936129e-002	-2.158349e-001	2.246102e-001
3.090655868983555e-002	-2.816602e-001	2.904301e-001
3.112064438030981e-002	-3.455165e-001	3.542819e-001
3.133473007078406e-002	-4.074035e-001	4.161654e-001
3.154881576125833e-002	-4.673215e-001	4.760808e-001
3.176290145173259e-002	-5.252703e-001	5.340280e-001
3.197698714220684e-002	-5.812500e-001	5.900070e-001
3.219107283268110e-002	-6.352605e-001	6.440179e-001
3.255449054765826e-002	-7.208027e-001	7.295632e-001
3.291790826263541e-002	-7.950345e-001	8.038005e-001
3.328132597761257e-002	-8.579558e-001	8.667300e-001
3.364474369258973e-002	-9.095666e-001	9.183515e-001
3.400816140756689e-002	-9.498670e-001	9.586651e-001
3.437157912254404e-002	-9.788569e-001	9.876708e-001
3.473499683752120e-002	-9.965364e-001	1.005369e+000
3.513434114555692e-002	-9.971894e-001	1.006044e+000
3.553368545359265e-002	-9.835191e-001	9.923977e-001
3.593302976162837e-002	-9.555257e-001	9.644287e-001
3.633237406966410e-002	-9.132090e-001	9.221374e-001
3.673171837769981e-002	-8.565692e-001	8.655237e-001
3.713106268573554e-002	-7.856061e-001	7.945877e-001
3.753040699377126e-002	-7.003199e-001	7.093294e-001
3.775972479511056e-002	-6.463313e-001	6.553562e-001
3.798904259644986e-002	-5.897629e-001	5.988029e-001
3.821836039778916e-002	-5.306148e-001	5.396693e-001
3.844767819912846e-002	-4.688868e-001	4.779555e-001
3.867699600046776e-002	-4.045791e-001	4.136614e-001
3.890631380180706e-002	-3.376916e-001	3.467872e-001
3.913563160314636e-002	-2.682243e-001	2.773327e-001
3.925247033082494e-002	-2.325687e-001	2.416832e-001
