Freq.	V(vo)
9.99999999999997e+001	(-2.40365209761768e+001dB,-9.00004291990696e+001°)
1.02329299228075e+002	(-2.38365208084486e+001dB,-9.00004391963321e+001°)
1.04712854805090e+002	(-2.36365206328155e+001dB,-9.00004494264558e+001°)
1.07151930523760e+002	(-2.34365204489051e+001dB,-9.00004598948646e+001°)
1.09647819614318e+002	(-2.32365202563273e+001dB,-9.00004706071083e+001°)
1.12201845430196e+002	(-2.30365200546736e+001dB,-9.00004815688662e+001°)
1.14815362149688e+002	(-2.28365198435162e+001dB,-9.00004927859499e+001°)
1.17489755493953e+002	(-2.26365196224073e+001dB,-9.00005042643061e+001°)
1.20226443461741e+002	(-2.24365193908778e+001dB,-9.00005160100201e+001°)
1.23026877081238e+002	(-2.22365191484367e+001dB,-9.00005280293192e+001°)
1.25892541179416e+002	(-2.20365188945697e+001dB,-9.00005403285751e+001°)
1.28824955169313e+002	(-2.18365186287383e+001dB,-9.00005529143085e+001°)
1.31825673855640e+002	(-2.16365183503786e+001dB,-9.00005657931916e+001°)
1.34896288259165e+002	(-2.14365180589002e+001dB,-9.00005789720519e+001°)
1.38038426460288e+002	(-2.12365177536849e+001dB,-9.00005924578762e+001°)
1.41253754462275e+002	(-2.10365174340852e+001dB,-9.00006062578138e+001°)
1.44543977074592e+002	(-2.08365170994232e+001dB,-9.00006203791803e+001°)
1.47910838816820e+002	(-2.06365167489890e+001dB,-9.00006348294620e+001°)
1.51356124843620e+002	(-2.04365163820394e+001dB,-9.00006496163193e+001°)
1.54881661891248e+002	(-2.02365159977960e+001dB,-9.00006647475910e+001°)
1.58489319246111e+002	(-2.00365155954437e+001dB,-9.00006802312983e+001°)
1.62181009735892e+002	(-1.98365151741291e+001dB,-9.00006960756495e+001°)
1.65958690743755e+002	(-1.96365147329586e+001dB,-9.00007122890436e+001°)
1.69824365246174e+002	(-1.94365142709963e+001dB,-9.00007288800753e+001°)
1.73780082874937e+002	(-1.92365137872624e+001dB,-9.00007458575396e+001°)
1.77827941003892e+002	(-1.90365132807307e+001dB,-9.00007632304360e+001°)
1.81970085860998e+002	(-1.88365127503269e+001dB,-9.00007810079735e+001°)
1.86208713666286e+002	(-1.86365121949259e+001dB,-9.00007991995756e+001°)
1.90546071796324e+002	(-1.84365116133497e+001dB,-9.00008178148853e+001°)
1.94984459975804e+002	(-1.82365110043646e+001dB,-9.00008368637697e+001°)
1.99526231496887e+002	(-1.80365103666788e+001dB,-9.00008563563260e+001°)
2.04173794466952e+002	(-1.78365096989397e+001dB,-9.00008763028861e+001°)
2.08929613085403e+002	(-1.76365089997311e+001dB,-9.00008967140225e+001°)
2.13796208950222e+002	(-1.74365082675697e+001dB,-9.00009176005539e+001°)
2.18776162394954e+002	(-1.72365075009025e+001dB,-9.00009389735507e+001°)
2.23872113856833e+002	(-1.70365066981033e+001dB,-9.00009608443410e+001°)
