Freq.	V(vout)/V(vin)
Step Information: Run=1  (Run: 1/18)
1.47910838816820e+002	(3.88691702820919e+001dB,-8.45164881401519e-002°)
1.51356124843620e+002	(3.88691715472314e+001dB,-8.64851430471069e-002°)
1.54881661891248e+002	(3.88691728719963e+001dB,-8.84996547719460e-002°)
1.58489319246111e+002	(3.88691742591940e+001dB,-9.05610914831698e-002°)
1.62181009735892e+002	(3.88691757117704e+001dB,-9.26705462852303e-002°)
1.65958690743755e+002	(3.88691772328029e+001dB,-9.48291377576809e-002°)
1.69824365246174e+002	(3.88691788255213e+001dB,-9.70380105067137e-002°)
1.73780082874937e+002	(3.88691804933002e+001dB,-9.92983358363374e-002°)
1.77827941003892e+002	(3.88691822396801e+001dB,-1.01611312295638e-001°)
1.81970085860998e+002	(3.88691840683660e+001dB,-1.03978166416794e-001°)
1.86208713666286e+002	(3.88691859832335e+001dB,-1.06400153276073e-001°)
1.90546071796324e+002	(3.88691879883458e+001dB,-1.08878557162301e-001°)
1.94984459975804e+002	(3.88691900879585e+001dB,-1.11414692382681e-001°)
1.99526231496887e+002	(3.88691922865210e+001dB,-1.14009903755474e-001°)
2.04173794466952e+002	(3.88691945886978e+001dB,-1.16665567488635e-001°)
2.08929613085403e+002	(3.88691969993759e+001dB,-1.19383091875863e-001°)
2.13796208950222e+002	(3.88691995236645e+001dB,-1.22163917970019e-001°)
2.18776162394954e+002	(3.88692021669192e+001dB,-1.25009520452856e-001°)
2.23872113856833e+002	(3.88692049347475e+001dB,-1.27921408357825e-001°)
2.29086765276776e+002	(3.88692078330197e+001dB,-1.30901125835367e-001°)
2.34422881531991e+002	(3.88692108678835e+001dB,-1.33950253079263e-001°)
2.39883291901948e+002	(3.88692140457765e+001dB,-1.37070407082218e-001°)
2.45470891568502e+002	(3.88692173734390e+001dB,-1.40263242511101e-001°)
2.51188643150957e+002	(3.88692208579299e+001dB,-1.43530452606997e-001°)
2.57039578276885e+002	(3.88692245066399e+001dB,-1.46873770044968e-001°)
2.63026799189537e+002	(3.88692283273099e+001dB,-1.50294967919385e-001°)
2.69153480392690e+002	(3.88692323280422e+001dB,-1.53795860588344e-001°)
2.75422870333816e+002	(3.88692365173242e+001dB,-1.57378304785821e-001°)
2.81838293126444e+002	(3.88692409040414e+001dB,-1.61044200415200e-001°)
2.88403150312659e+002	(3.88692454974989e+001dB,-1.64795491729200e-001°)
2.95120922666637e+002	(3.88692503074403e+001dB,-1.68634168303699e-001°)
3.01995172040200e+002	(3.88692553440678e+001dB,-1.72562265995070e-001°)
3.09029543251358e+002	(3.88692606180659e+001dB,-1.76581868266311e-001°)
3.16227766016837e+002	(3.88692661406198e+001dB,-1.80695107004871e-001°)
3.23593656929627e+002	(3.88692719234452e+001dB,-1.84904163869223e-001°)
3.31131121482590e+002	(3.88692779788086e+001dB,-1.89211271352483e-001°)
3.38844156139201e+002	(3.88692843195536e+001dB,-1.93618714007436e-001°)
3.46736850452530e+002	(3.88692909591298e+001dB,-1.98128829631452e-001°)
3.54813389233574e+002	(3.88692979116216e+001dB,-2.02744010512189e-001°)
3.63078054770100e+002	(3.88693051917759e+001dB,-2.07466704775572e-001°)
3.71535229097171e+002	(3.88693128150352e+001dB,-2.12299417548505e-001°)
3.80189396320559e+002	(3.88693207975697e+001dB,-2.17244712425434e-001°)
3.89045144994279e+002	(3.88693291563123e+001dB,-2.22305212773442e-001°)
3.98107170553495e+002	(3.88693379089928e+001dB,-2.27483603115995e-001°)
4.07380277804111e+002	(3.88693470741770e+001dB,-2.32782630589343e-001°)
4.16869383470333e+002	(3.88693566713063e+001dB,-2.38205106421281e-001°)
