Freq.	V(vin)/-I(R3)
Step Information: Run=1  (Run: 1/18)
8.91250938133741e+002	(24574607.804483753dB,-79.5918129179224°)
9.12010839355905e+002	(24031464.619230114dB,-79.8040656996392°)
9.33254300796986e+002	(23499633.752476063dB,-80.0113021786882°)
9.54992586021431e+002	(22978924.759765908dB,-80.2136070726076°)
9.77237220955805e+002	(22469147.390388034dB,-80.411064075681°)
9.99999999999994e+002	(21970111.824940152dB,-80.6037558048084°)
1.02329299228075e+003	(21481628.895014323dB,-80.7917637533842°)
1.04712854805089e+003	(21003510.285531048dB,-80.9751682470067°)
1.07151930523760e+003	(20535568.720983926dB,-81.1540484068335°)
1.09647819614318e+003	(20077618.136056416dB,-81.3284821130138°)
1.12201845430196e+003	(19629473.83187991dB,-81.4985459758971°)
1.14815362149688e+003	(19190952.618376557dB,-81.6643153075328°)
1.17489755493952e+003	(18761872.94375601dB,-81.8258640989435°)
1.20226443461741e+003	(18342055.011728045dB,-81.9832649990725°)
1.23026877081237e+003	(17931320.88728219dB,-82.1365892975099°)
1.25892541179416e+003	(17529494.591618054dB,-82.2859069083186°)
1.28824955169313e+003	(17136402.1870354dB,-82.4312863584359°)
1.31825673855640e+003	(16751871.852327362dB,-82.5727947775262°)
1.34896288259165e+003	(16375733.94923966dB,-82.7104978889358°)
1.38038426460288e+003	(16007821.080712518dB,-82.8444600038098°)
1.41253754462275e+003	(15647968.141354404dB,-82.9747440168841°)
1.44543977074592e+003	(15296012.360697439dB,-83.1014114034525°)
1.47910838816820e+003	(14951793.339726638dB,-83.2245222181911°)
1.51356124843620e+003	(14615153.081166804dB,-83.3441350948503°)
1.54881661891247e+003	(14285936.013970377dB,-83.4603072482085°)
1.58489319246110e+003	(13963989.012402693dB,-83.5730944757929°)
1.62181009735892e+003	(13649161.410143485dB,-83.6825511615307°)
1.65958690743755e+003	(13341305.009806272dB,-83.7887302804091°)
1.69824365246173e+003	(13040274.088146385dB,-83.8916834031606°)
1.73780082874936e+003	(12745925.397393294dB,-83.9914607024554°)
1.77827941003891e+003	(12458118.162931021dB,-84.0881109590869°)
1.81970085860997e+003	(12176714.077683946dB,-84.1816815692865°)
1.86208713666286e+003	(11901577.293448878dB,-84.2722185522662°)
1.90546071796323e+003	(11632574.409440463dB,-84.3597665579171°)
1.94984459975803e+003	(11369574.45830002dB,-84.4443688752582°)
1.99526231496887e+003	(11112448.88978706dB,-84.5260674410528°)
2.04173794466952e+003	(10861071.5523674dB,-84.6049028482904°)
2.08929613085403e+003	(10615318.67289895dB,-84.6809143555126°)
2.13796208950222e+003	(10375068.834608272dB,-84.7541398955986°)
2.18776162394954e+003	(10140202.953504808dB,-84.8246160851942°)
2.23872113856832e+003	(9910604.253434649dB,-84.892378233836°)
2.29086765276776e+003	(9686158.239872754dB,-84.9574603524677°)
2.34422881531991e+003	(9466752.672661481dB,-85.0198951638328°)
2.39883291901947e+003	(9252277.5377508dB,-85.0797141104435°)
2.45470891568501e+003	(9042625.018123548dB,-85.1369473639849°)
2.51188643150956e+003	(8837689.463971747dB,-85.191623833874°)
2.57039578276885e+003	(8637367.362275818dB,-85.2437711763438°)
2.63026799189536e+003	(8441557.305823585dB,-85.293415802309°)
2.69153480392690e+003	(8250159.961819264dB,-85.3405828859582°)
2.75422870333815e+003	(8063078.040119984dB,-85.3852963726044°)
2.81838293126443e+003	(7880216.261200933dB,-85.4275789863984°)
2.88403150312659e+003	(7701481.3239108715dB,-85.4674522378582°)
2.95120922666636e+003	(7526781.873076998dB,-85.5049364308258°)
3.01995172040199e+003	(7356028.467036863dB,-85.5400506695742°)
3.09029543251357e+003	(7189133.545130174dB,-85.5728128651509°)
3.16227766016836e+003	(7026011.395215301dB,-85.6032397414308°)
3.23593656929626e+003	(6866578.121252343dB,-85.6313468411832°)
3.31131121482589e+003	(6710751.610995381dB,-85.6571485314853°)
3.38844156139200e+003	(6558451.503827212dB,-85.6806580087098°)
3.46736850452529e+003	(6409599.158781645dB,-85.7018873033984°)
3.54813389233573e+003	(6264117.622773379dB,-85.7208472844855°)
3.63078054770099e+003	(6121931.599070041dB,-85.7375476631503°)
3.71535229097170e+003	(5982967.416037035dB,-85.7519969966031°)
3.80189396320558e+003	(5847152.996166783dB,-85.7642026909813°)
3.89045144994278e+003	(5714417.82542529dB,-85.7741710043782°)
3.98107170553494e+003	(5584692.922922028dB,-85.7819070486866°)
