Freq.	V(vout)/V(vin)
Step Information: Run=1  (Run: 1/18)
1.25892541179416e+003	(3.88710882100341e+001dB,-7.19516043209714e-001°)
1.28824955169313e+003	(3.88711798675646e+001dB,-7.36283749465403e-001°)
1.31825673855640e+003	(3.88712758450931e+001dB,-7.53442599859194e-001°)
1.34896288259165e+003	(3.88713763462448e+001dB,-7.71001746377202e-001°)
1.38038426460288e+003	(3.88714815842445e+001dB,-7.88970557141949e-001°)
1.41253754462275e+003	(3.88715917823689e+001dB,-8.07358621621542e-001°)
1.44543977074592e+003	(3.88717071744213e+001dB,-8.26175756045309e-001°)
1.47910838816820e+003	(3.88718280052271e+001dB,-8.45432008891373e-001°)
1.51356124843620e+003	(3.88719545311546e+001dB,-8.65137666584974e-001°)
1.54881661891248e+003	(3.88720870206588e+001dB,-8.85303259315024e-001°)
1.58489319246111e+003	(3.88722257548514e+001dB,-9.05939566991902e-001°)
1.62181009735892e+003	(3.88723710280984e+001dB,-9.27057625397542e-001°)
1.65958690743755e+003	(3.88725231486445e+001dB,-9.48668732486797e-001°)
1.69824365246174e+003	(3.88726824392683e+001dB,-9.70784454858334e-001°)
1.73780082874937e+003	(3.88728492379677e+001dB,-9.93416634406360e-001°)
1.77827941003892e+003	(3.88730238986781e+001dB,-1.01657739515261e+000°)
1.81970085860998e+003	(3.88732067920237e+001dB,-1.04027915026438e+000°)
1.86208713666286e+003	(3.88733983061056e+001dB,-1.06453460928812e+000°)
1.90546071796324e+003	(3.88735988473256e+001dB,-1.08935678555506e+000°)
1.94984459975804e+003	(3.88738088412507e+001dB,-1.11475900381841e+000°)
1.99526231496887e+003	(3.88740287335161e+001dB,-1.14075490811147e+000°)
2.04173794466952e+003	(3.88742589907734e+001dB,-1.16735846980947e+000°)
2.08929613085403e+003	(3.88745001016819e+001dB,-1.19458399594925e+000°)
2.13796208950222e+003	(3.88747525779471e+001dB,-1.22244613777187e+000°)
2.18776162394954e+003	(3.88750169554086e+001dB,-1.25095989953742e+000°)
2.23872113856833e+003	(3.88752937951794e+001dB,-1.28014064758086e+000°)
2.29086765276776e+003	(3.88755836848384e+001dB,-1.31000411965235e+000°)
2.34422881531991e+003	(3.88758872396804e+001dB,-1.34056643454588e+000°)
2.39883291901948e+003	(3.88762051040242e+001dB,-1.37184410199642e+000°)
2.45470891568502e+003	(3.88765379525831e+001dB,-1.40385403290887e+000°)
2.51188643150957e+003	(3.88768864919002e+001dB,-1.43661354989952e+000°)
2.57039578276885e+003	(3.88772514618512e+001dB,-1.47014039815897e+000°)
2.63026799189537e+003	(3.88776336372188e+001dB,-1.50445275666458e+000°)
2.69153480392690e+003	(3.88780338293416e+001dB,-1.53956924976414e+000°)
2.75422870333815e+003	(3.88784528878405e+001dB,-1.57550895911488e+000°)
2.81838293126444e+003	(3.88788917024276e+001dB,-1.61229143603461e+000°)
2.88403150312659e+003	(3.88793512047999e+001dB,-1.64993671424822e+000°)
