Freq.	V(vin)/-I(R3)
5.88843655355587e+002	(1.59079270517607e+002dB,-8.44404642162688e+001°)
6.02559586074356e+002	(1.58881796622165e+002dB,-8.46192162006580e+001°)
6.16595001861481e+002	(1.58684196449026e+002dB,-8.47952346740487e+001°)
6.30957344480192e+002	(1.58486474882182e+002dB,-8.49686049011396e+001°)
6.45654229034654e+002	(1.58288636566111e+002dB,-8.51394112528025e+001°)
6.60693448007594e+002	(1.58090685914098e+002dB,-8.53077372170586e+001°)
6.76082975391980e+002	(1.57892627116192e+002dB,-8.54736654116328e+001°)
6.91830970918935e+002	(1.57694464146814e+002dB,-8.56372775979458e+001°)
7.07945784384136e+002	(1.57496200772011e+002dB,-8.57986546963920e+001°)
7.24435960074988e+002	(1.57297840556378e+002dB,-8.59578768028717e+001°)
7.41310241300916e+002	(1.57099386869639e+002dB,-8.61150232066023e+001°)
7.58577575029182e+002	(1.56900842892903e+002dB,-8.62701724086439e+001°)
7.76247116628690e+002	(1.56702211624599e+002dB,-8.64234021416726e+001°)
7.94328234724279e+002	(1.56503495886091e+002dB,-8.65747893904415e+001°)
8.12830516164097e+002	(1.56304698326990e+002dB,-8.67244104131770e+001°)
8.31763771102669e+002	(1.56105821430155e+002dB,-8.68723407635803e+001°)
8.51138038202374e+002	(1.55906867516402e+002dB,-8.70186553134935e+001°)
8.70963589956078e+002	(1.55707838748916e+002dB,-8.71634282762344e+001°)
8.91250938133743e+002	(1.55508737137380e+002dB,-8.73067332304255e+001°)
9.12010839355907e+002	(1.55309564541815e+002dB,-8.74486431442583e+001°)
9.33254300796988e+002	(1.55110322676152e+002dB,-8.75892304002396e+001°)
9.54992586021433e+002	(1.54911013111521e+002dB,-8.77285668203481e+001°)
9.77237220955808e+002	(1.54711637279279e+002dB,-8.78667236914141e+001°)
9.99999999999997e+002	(1.54512196473768e+002dB,-8.80037717909022e+001°)
1.02329299228075e+003	(1.54312691854816e+002dB,-8.81397814129362e+001°)
1.04712854805090e+003	(1.54113124449978e+002dB,-8.82748223944320e+001°)
1.07151930523760e+003	(1.53913495156517e+002dB,-8.84089641415812e+001°)
1.09647819614318e+003	(1.53713804743145e+002dB,-8.85422756563056e+001°)
1.12201845430196e+003	(1.53514053851501e+002dB,-8.86748255629766e+001°)
1.14815362149688e+003	(1.53314242997389e+002dB,-8.88066821351420e+001°)
1.17489755493953e+003	(1.53114372571766e+002dB,-8.89379133222760e+001°)
1.20226443461741e+003	(1.52914442841486e+002dB,-8.90685867766639e+001°)
1.23026877081238e+003	(1.52714453949799e+002dB,-8.91987698801743e+001°)
1.25892541179416e+003	(1.52514405916607e+002dB,-8.93285297710502e+001°)
1.28824955169313e+003	(1.52314298638474e+002dB,-8.94579333706679e+001°)
1.31825673855640e+003	(1.52114131888396e+002dB,-8.95870474101829e+001°)
1.34896288259165e+003	(1.51913905315322e+002dB,-8.97159384570530e+001°)
1.38038426460288e+003	(1.51713618443431e+002dB,-8.98446729414686e+001°)
1.41253754462275e+003	(1.51513270671167e+002dB,-8.99733171826094e+001°)
1.44543977074592e+003	(1.51312861270015e+002dB,-9.01019374146734e+001°)
1.47910838816820e+003	(1.51112389383037e+002dB,-9.02305998127895e+001°)
1.51356124843620e+003	(1.50911854023147e+002dB,-9.03593705185518e+001°)
1.54881661891248e+003	(1.50711254071135e+002dB,-9.04883156653896e+001°)
1.58489319246111e+003	(1.50510588273428e+002dB,-9.06175014035928e+001°)
1.62181009735892e+003	(1.50309855239589e+002dB,-9.07469939249950e+001°)
1.65958690743755e+003	(1.50109053439555e+002dB,-9.08768594872963e+001°)
1.69824365246174e+003	(1.49908181200589e+002dB,-9.10071644379903e+001°)
1.73780082874937e+003	(1.49707236703976e+002dB,-9.11379752378061e+001°)
1.77827941003892e+003	(1.49506217981416e+002dB,-9.12693584837515e+001°)
1.81970085860998e+003	(1.49305122911150e+002dB,-9.14013809315170e+001°)
1.86208713666286e+003	(1.49103949213779e+002dB,-9.15341095174193e+001°)
1.90546071796324e+003	(1.48902694447793e+002dB,-9.16676113796492e+001°)
1.94984459975804e+003	(1.48701356004789e+002dB,-9.18019538788794e+001°)
1.99526231496887e+003	(1.48499931104379e+002dB,-9.19372046181532e+001°)
2.04173794466952e+003	(1.48298416788781e+002dB,-9.20734314619825e+001°)
2.08929613085403e+003	(1.48096809917076e+002dB,-9.22107025545948e+001°)
2.13796208950222e+003	(1.47895107159137e+002dB,-9.23490863372661e+001°)
2.18776162394954e+003	(1.47693304989211e+002dB,-9.24886515646894e+001°)
2.23872113856833e+003	(1.47491399679150e+002dB,-9.26294673202637e+001°)
2.29086765276776e+003	(1.47289387291282e+002dB,-9.27716030302398e+001°)
2.34422881531991e+003	(1.47087263670911e+002dB,-9.29151284766491e+001°)
2.39883291901948e+003	(1.46885024438442e+002dB,-9.30601138089279e+001°)
2.45470891568502e+003	(1.46682664981115e+002dB,-9.32066295540353e+001°)
2.51188643150957e+003	(1.46480180444342e+002dB,-9.33547466251727e+001°)
2.57039578276885e+003	(1.46277565722638e+002dB,-9.35045363287574e+001°)
2.63026799189537e+003	(1.46074815450136e+002dB,-9.36560703696812e+001°)
2.69153480392690e+003	(1.45871923990672e+002dB,-9.38094208546590e+001°)
2.75422870333815e+003	(1.45668885427441e+002dB,-9.39646602935933e+001°)
2.81838293126444e+003	(1.45465693552200e+002dB,-9.41218615986966e+001°)
2.88403150312659e+003	(1.45262341854019e+002dB,-9.42810980813548e+001°)
2.95120922666637e+003	(1.45058823507571e+002dB,-9.44424434464800e+001°)
3.01995172040200e+003	(1.44855131360941e+002dB,-9.46059717841586e+001°)
3.09029543251358e+003	(1.44651257922963e+002dB,-9.47717575585356e+001°)
