Freq.	V(vin)/-I(R3)
Step Information: Run=1  (Run: 1/18)
3.89045144994280e+001	(1.62783542373876e+002dB,-1.39289883344936e+001°)
3.98107170553497e+001	(1.62771666429739e+002dB,-1.42403260048409e+001°)
4.07380277804112e+001	(1.62759265498955e+002dB,-1.45580252384212e+001°)
4.16869383470335e+001	(1.62746317971544e+002dB,-1.48821759687722e+001°)
4.26579518801592e+001	(1.62732801490976e+002dB,-1.52128666680669e+001°)
4.36515832240165e+001	(1.62718692941888e+002dB,-1.55501841258011e+001°)
4.46683592150962e+001	(1.62703968437982e+002dB,-1.58942132141410e+001°)
4.57088189614874e+001	(1.62688603310454e+002dB,-1.62450366398931e+001°)
4.67735141287197e+001	(1.62672572099517e+002dB,-1.66027346876125e+001°)
4.78630092322638e+001	(1.62655848546249e+002dB,-1.69673849484352e+001°)
4.89778819368445e+001	(1.62638405585434e+002dB,-1.73390620353621e+001°)
5.01187233627271e+001	(1.62620215342148e+002dB,-1.77178372903281e+001°)
5.12861383991364e+001	(1.62601249127755e+002dB,-1.81037784741428e+001°)
5.24807460249772e+001	(1.62581477441130e+002dB,-1.84969494511389e+001°)
5.37031796370252e+001	(1.62560869969046e+002dB,-1.88974098558429e+001°)
5.49540873857624e+001	(1.62539395591220e+002dB,-1.93052147532478e+001°)
5.62341325190348e+001	(1.62517022388420e+002dB,-1.97204142898119e+001°)
5.75439937337156e+001	(1.62493717651192e+002dB,-2.01430533296138e+001°)
5.88843655355588e+001	(1.62469447893833e+002dB,-2.05731710865619e+001°)
6.02559586074357e+001	(1.62444178871729e+002dB,-2.10108007492008e+001°)
6.16595001861481e+001	(1.62417875600592e+002dB,-2.14559690949110e+001°)
6.30957344480192e+001	(1.62390502381814e+002dB,-2.19086961047802e+001°)
6.45654229034654e+001	(1.62362022829343e+002dB,-2.23689945686172e+001°)
6.60693448007595e+001	(1.62332399903044e+002dB,-2.28368696939038e+001°)
6.76082975391980e+001	(1.62301595944273e+002dB,-2.33123187089216e+001°)
6.91830970918935e+001	(1.62269572717638e+002dB,-2.37953304721153e+001°)
7.07945784384136e+001	(1.62236291456936e+002dB,-2.42858850842358e+001°)
7.24435960074988e+001	(1.62201712914691e+002dB,-2.47839535032111e+001°)
7.41310241300916e+001	(1.62165797418347e+002dB,-2.52894971728323e+001°)
7.58577575029182e+001	(1.62128504930202e+002dB,-2.58024676592977e+001°)
7.76247116628690e+001	(1.62089795112633e+002dB,-2.63228063026294e+001°)
7.94328234724279e+001	(1.62049627398292e+002dB,-2.68504438849952e+001°)
8.12830516164097e+001	(1.62007961065263e+002dB,-2.73853003189250e+001°)
8.31763771102669e+001	(1.61964755316670e+002dB,-2.79272843570536e+001°)
8.51138038202374e+001	(1.61919969366567e+002dB,-2.84762933332324e+001°)
8.70963589956078e+001	(1.61873562527250e+002dB,-2.90322129218655e+001°)
8.91250938133743e+001	(1.61825494304532e+002dB,-2.95949169421756e+001°)
9.12010839355907e+001	(1.61775724495059e+002dB,-3.01642671909183e+001°)
9.33254300796988e+001	(1.61724213287058e+002dB,-3.07401133121502e+001°)
