Freq.	V(vout)/V(vin)
Step Information: Run=1  (Run: 1/18)
5.01187233627271e+001	(3.86555113642889e+001dB,-2.49470752065409e-002°)
5.12861383991364e+001	(3.86555113261117e+001dB,-2.55281671625640e-002°)
5.24807460249772e+001	(3.86555112861352e+001dB,-2.61227944837272e-002°)
5.37031796370252e+001	(3.86555112442746e+001dB,-2.67312724488066e-002°)
5.49540873857624e+001	(3.86555112004413e+001dB,-2.73539236803375e-002°)
5.62341325190348e+001	(3.86555111545421e+001dB,-2.79910783156702e-002°)
5.75439937337156e+001	(3.86555111064798e+001dB,-2.86430741820106e-002°)
5.88843655355588e+001	(3.86555110561524e+001dB,-2.93102569755379e-002°)
6.02559586074357e+001	(3.86555110034531e+001dB,-2.99929804446936e-002°)
6.16595001861481e+001	(3.86555109482702e+001dB,-3.06916065777409e-002°)
6.30957344480192e+001	(3.86555108904865e+001dB,-3.14065057946915e-002°)
6.45654229034654e+001	(3.86555108299797e+001dB,-3.21380571437038e-002°)
6.60693448007595e+001	(3.86555107666212e+001dB,-3.28866485020547e-002°)
6.76082975391980e+001	(3.86555107002767e+001dB,-3.36526767817931e-002°)
6.91830970918935e+001	(3.86555106308055e+001dB,-3.44365481401828e-002°)
7.07945784384136e+001	(3.86555105580603e+001dB,-3.52386781950477e-002°)
7.24435960074988e+001	(3.86555104818867e+001dB,-3.60594922451326e-002°)
7.41310241300916e+001	(3.86555104021231e+001dB,-3.68994254955956e-002°)
7.58577575029182e+001	(3.86555103186003e+001dB,-3.77589232887541e-002°)
7.76247116628690e+001	(3.86555102311413e+001dB,-3.86384413402038e-002°)
7.94328234724279e+001	(3.86555101395605e+001dB,-3.95384459804389e-002°)
8.12830516164097e+001	(3.86555100436636e+001dB,-4.04594144020979e-002°)
8.31763771102669e+001	(3.86555099432472e+001dB,-4.14018349129697e-002°)
8.51138038202374e+001	(3.86555098380983e+001dB,-4.23662071948920e-002°)
8.70963589956078e+001	(3.86555097279939e+001dB,-4.33530425686797e-002°)
8.91250938133743e+001	(3.86555096127005e+001dB,-4.43628642652236e-002°)
9.12010839355907e+001	(3.86555094919734e+001dB,-4.53962077029036e-002°)
9.33254300796988e+001	(3.86555093655567e+001dB,-4.64536207714629e-002°)
9.54992586021433e+001	(3.86555092331821e+001dB,-4.75356641224937e-002°)
9.77237220955808e+001	(3.86555090945689e+001dB,-4.86429114666890e-002°)
9.99999999999997e+001	(3.86555089494231e+001dB,-4.97759498780168e-002°)
1.02329299228075e+002	(3.86555087974368e+001dB,-5.09353801049793e-002°)
1.04712854805090e+002	(3.86555086382876e+001dB,-5.21218168891213e-002°)
1.07151930523760e+002	(3.86555084716379e+001dB,-5.33358892909562e-002°)
1.09647819614318e+002	(3.86555082971343e+001dB,-5.45782410234839e-002°)
1.12201845430196e+002	(3.86555081144065e+001dB,-5.58495307934750e-002°)
1.14815362149688e+002	(3.86555079230671e+001dB,-5.71504326507041e-002°)
1.17489755493953e+002	(3.86555077227102e+001dB,-5.84816363453170e-002°)
1.20226443461741e+002	(3.86555075129107e+001dB,-5.98438476935204e-002°)
