Freq.	V(vin)/-I(R3)
Step Information: Run=1  (Run: 1/18)
1.38038426460288e+004	(3049475.649090989dB,-113.037690281158°)
1.41253754462275e+004	(2957908.294864956dB,-113.441160855083°)
1.44543977074592e+004	(2868312.0667152037dB,-113.845437017172°)
1.47910838816820e+004	(2780654.950466629dB,-114.250149916359°)
1.51356124843620e+004	(2694906.1002549147dB,-114.654909279249°)
1.54881661891248e+004	(2611035.7854640465dB,-115.05930291132°)
1.58489319246111e+004	(2529015.3359360266dB,-115.462896201467°)
1.62181009735893e+004	(2448817.0855828873dB,-115.865231626607°)
1.65958690743756e+004	(2370414.314559039dB,-116.265828252192°)
1.69824365246174e+004	(2293781.1901833927dB,-116.664181223502°)
1.73780082874937e+004	(2218892.7068331614dB,-117.05976124152°)
1.77827941003892e+004	(2145724.6250578766dB,-117.452014016013°)
1.81970085860998e+004	(2074253.4101903946dB,-117.840359687212°)
1.86208713666286e+004	(2004456.1707604376dB,-118.224192206107°)
1.90546071796324e+004	(1936310.5970300734dB,-118.602878661911°)
1.94984459975804e+004	(1869794.9000015254dB,-118.975758543676°)
1.99526231496887e+004	(1804887.7512508994dB,-119.342142921386°)
2.04173794466952e+004	(1741568.2239616998dB,-119.701313530024°)
2.08929613085403e+004	(1679815.735534415dB,-120.052521738197°)
2.13796208950222e+004	(1619609.9921495474dB,-120.394987380858°)
2.18776162394954e+004	(1560930.9356606058dB,-120.727897433428°)
2.23872113856833e+004	(1503758.6931870803dB,-121.050404502273°)
2.29086765276777e+004	(1448073.5297590944dB,-121.361625103927°)
2.34422881531991e+004	(1393855.8043550556dB,-121.660637702701°)
2.39883291901948e+004	(1341085.9296473095dB,-121.946480473358°)
2.45470891568502e+004	(1289744.335749743dB,-122.218148752278°)
2.51188643150957e+004	(1239811.438228335dB,-122.474592137073°)
2.57039578276885e+004	(1191267.610609851dB,-122.714711190794°)
2.63026799189537e+004	(1144093.161588312dB,-122.937353702733°)
2.69153480392691e+004	(1098268.3170956841dB,-123.141310453361°)
2.75422870333816e+004	(1053773.2073697688dB,-123.325310426089°)
2.81838293126444e+004	(1010587.8591202183dB,-123.488015403313°)
2.88403150312660e+004	(968692.1928612903dB,-123.628013878661°)
2.95120922666637e+004	(928066.0254500876dB,-123.743814211497°)
3.01995172040200e+004	(888689.0778454088dB,-123.83383694366°)
3.09029543251358e+004	(850540.9880790679dB,-123.896406192323°)
3.16227766016837e+004	(813601.3294160453dB,-123.929740026964°)
3.23593656929627e+004	(777849.6336655058dB,-123.931939733149°)
3.31131121482590e+004	(743265.4196023747dB,-123.900977861634°)
3.38844156139201e+004	(709828.2264544723dB,-123.834684959181°)
3.46736850452530e+004	(677517.6524200507dB,-123.730734878326°)
3.54813389233574e+004	(646313.3981864967dB,-123.586628568991°)
3.63078054770100e+004	(616195.3154402771dB,-123.399676267354°)
3.71535229097171e+004	(587143.460373112dB,-123.166978019862°)
3.80189396320560e+004	(559138.1522073699dB,-122.885402516815°)
3.89045144994279e+004	(532160.0367818461dB,-122.551564266173°)
3.98107170553496e+004	(506190.15524107567dB,-122.161799221501°)
4.07380277804111e+004	(481210.01786755613dB,-121.712139098173°)
4.16869383470334e+004	(457201.6830581174dB,-121.198284782041°)
4.26579518801591e+004	(434147.84137464414dB,-120.615579471093°)
4.36515832240164e+004	(412031.9044661638dB,-119.958982514458°)
4.46683592150961e+004	(390838.0984438845dB,-119.223045349944°)
4.57088189614873e+004	(370551.5609573721dB,-118.401891521987°)
4.67735141287196e+004	(351158.4407274958dB,-117.489203520858°)
4.78630092322636e+004	(332645.9975833293dB,-116.478220156682°)
4.89778819368444e+004	(315002.7000609792dB,-115.361749398455°)
5.01187233627270e+004	(298218.3162826903dB,-114.132203082666°)
5.12861383991362e+004	(282283.9920590535dB,-112.781661606291°)
5.24807460249770e+004	(267192.30789352785dB,-111.301978577378°)
5.37031796370250e+004	(252937.30378270533dB,-109.684937206316°)
5.49540873857622e+004	(239514.45746432594dB,-107.922471618979°)
5.62341325190346e+004	(226920.59827334862dB,-106.006966664588°)
5.75439937337154e+004	(215153.7354731582dB,-103.931648296593°)
5.88843655355586e+004	(204212.77761754917dB,-101.691072056748°)
6.02559586074355e+004	(194097.11937737328dB,-99.2817082515598°)
6.16595001861479e+004	(184806.07595342502dB,-96.7026078898869°)
6.30957344480190e+004	(176338.15456207973dB,-93.9561129331696°)
6.45654229034652e+004	(168690.16915007605dB,-91.0485491504642°)
6.60693448007593e+004	(161856.22903402973dB,-87.9908137751061°)
6.76082975391979e+004	(155826.66296609852dB,-84.798750306225°)
6.91830970918933e+004	(150586.97245870432dB,-81.4931986858298°)
7.07945784384134e+004	(146116.93404391006dB,-78.0996299058773°)
7.24435960074987e+004	(142389.97966568556dB,-74.6473242034953°)
7.41310241300914e+004	(139372.96926862642dB,-71.1681262326119°)
7.58577575029180e+004	(137026.42723116506dB,-67.694892618658°)
7.76247116628688e+004	(135305.25068883086dB,-64.2598134810933°)
7.94328234724277e+004	(134159.8273402283dB,-60.892818037534°)
8.12830516164095e+004	(133537.44096733324dB,-57.6202552869914°)
8.31763771102667e+004	(133383.8093473212dB,-54.4639807426041°)
8.51138038202372e+004	(133644.59749593615dB,-51.440899377632°)
8.70963589956076e+004	(134266.77526514733dB,-48.5629374735199°)
8.91250938133741e+004	(135199.731246035dB,-45.8373602552045°)
9.12010839355905e+004	(136396.10187670676dB,-43.2673255158225°)
9.33254300796986e+004	(137812.3153866908dB,-40.8525631306007°)
9.54992586021431e+004	(139408.87918054409dB,-38.5900878223267°)
9.77237220955805e+004	(141150.4554377416dB,-36.4748780398552°)
9.99999999999995e+004	(143005.77505244222dB,-34.5004796581924°)
1.02329299228075e+005	(144947.43781336743dB,-32.6595148658129°)
1.04712854805089e+005	(146951.64018858687dB,-30.9440923518551°)
1.07151930523760e+005	(148997.86381659005dB,-29.3461249004055°)
1.09647819614318e+005	(151068.54953243784dB,-27.8575658313816°)
1.12201845430196e+005	(153148.77443140885dB,-26.4705777406188°)
1.14815362149688e+005	(155225.94348463917dB,-25.1776469028331°)
1.17489755493952e+005	(157289.50261792282dB,-23.9716554509458°)
1.20226443461741e+005	(159330.67680027473dB,-22.8459216830692°)
1.23026877081237e+005	(161342.23434703232dB,-21.794216979353°)
1.25892541179416e+005	(163318.27709382732dB,-20.8107660605306°)
1.28824955169313e+005	(165254.05513842698dB,-19.8902357941724°)
1.31825673855640e+005	(167145.8043073185dB,-19.0277164857976°)
1.34896288259165e+005	(168990.60425350952dB,-18.2186985717746°)
1.38038426460288e+005	(170786.25503033376dB,-17.4590468313309°)
1.41253754462275e+005	(172531.17004541468dB,-16.7449736209993°)
1.44543977074592e+005	(174224.28342685322dB,-16.0730121714359°)
1.47910838816820e+005	(175864.96999905794dB,-15.4399906421987°)
1.51356124843620e+005	(177452.97624450616dB,-14.8430073779573°)
1.54881661891247e+005	(178988.36080720418dB,-14.2794076278058°)
1.58489319246110e+005	(180471.44326463286dB,-13.7467618604536°)
1.62181009735892e+005	(181902.76005365615dB,-13.242845718503°)
1.65958690743755e+005	(183283.0265789378dB,-12.7656215943743°)
1.69824365246173e+005	(184613.10466155017dB,-12.3132217708222°)
1.73780082874937e+005	(185893.97459711856dB,-11.8839330444828°)
1.77827941003891e+005	(187126.71119388766dB,-11.4761827371095°)
1.81970085860997e+005	(188312.4632453712dB,-11.0885259928472°)
1.86208713666286e+005	(189452.43596905665dB,-10.7196342587072°)
1.90546071796324e+005	(190547.87600572428dB,-10.3682848476063°)
1.94984459975803e+005	(191600.05863087223dB,-10.0333514877036°)
1.99526231496887e+005	(192610.27687699033dB,-9.71379576742727°)
2.04173794466952e+005	(193579.8323073734dB,-9.40865939192055°)
2.08929613085403e+005	(194510.02721731336dB,-9.11705717322366°)
2.13796208950222e+005	(195402.1580691941dB,-8.83817068307201°)
2.18776162394954e+005	(196257.50999409886dB,-8.57124250353468°)
2.23872113856833e+005	(197077.352215651dB,-8.31557101673467°)
2.29086765276776e+005	(197862.9342706108dB,-8.07050568051501°)
2.34422881531991e+005	(198615.48291791303dB,-7.83544274211271°)
2.39883291901948e+005	(199336.19964213367dB,-7.60982134666975°)
2.45470891568501e+005	(200026.25866974547dB,-7.39312000175386°)
2.51188643150956e+005	(200686.80542764423dB,-7.18485336300195°)
2.57039578276885e+005	(201318.9553820007dB,-6.98456930955776°)
2.63026799189536e+005	(201923.79320437892dB,-6.7918462811823°)
2.69153480392690e+005	(202502.37221828479dB,-6.60629085179719°)
2.75422870333815e+005	(203055.71408594036dB,-6.427535516807°)
2.81838293126444e+005	(203584.80869979638dB,-6.25523667386371°)
2.88403150312659e+005	(204090.6142480916dB,-6.08907277881052°)
2.95120922666637e+005	(204574.0574277535dB,-5.92874266039782°)
