Freq.	V(vin)/-I(R3)
Step Information: Run=1  (Run: 1/18)
1.77827941003892e+003	(1.49014136352777e+002dB,-9.12260663350877e+001°)
1.81970085860998e+003	(1.48813040344649e+002dB,-9.13570938323896e+001°)
1.86208713666287e+003	(1.48611865657617e+002dB,-9.14888038644778e+001°)
1.90546071796325e+003	(1.48410609848109e+002dB,-9.16212630205078e+001°)
1.94984459975804e+003	(1.48209270305545e+002dB,-9.17545380986990e+001°)
1.99526231496888e+003	(1.48007844247250e+002dB,-9.18886961258535e+001°)
2.04173794466953e+003	(1.47806328713030e+002dB,-9.20238043761099e+001°)
2.08929613085404e+003	(1.47604720559435e+002dB,-9.21599303888373e+001°)
2.13796208950223e+003	(1.47403016453675e+002dB,-9.22971419855687e+001°)
2.18776162394955e+003	(1.47201212867202e+002dB,-9.24355072859951e+001°)
2.23872113856834e+003	(1.46999306068931e+002dB,-9.25750947228526e+001°)
2.29086765276777e+003	(1.46797292118109e+002dB,-9.27159730556590e+001°)
2.34422881531992e+003	(1.46595166856810e+002dB,-9.28582113831899e+001°)
2.39883291901949e+003	(1.46392925902048e+002dB,-9.30018791546757e+001°)
2.45470891568503e+003	(1.46190564637510e+002dB,-9.31470461794978e+001°)
2.51188643150958e+003	(1.45988078204885e+002dB,-9.32937826353727e+001°)
2.57039578276886e+003	(1.45785461494788e+002dB,-9.34421590748782e+001°)
2.63026799189538e+003	(1.45582709137266e+002dB,-9.35922464302011e+001°)
2.69153480392691e+003	(1.45379815491880e+002dB,-9.37441160159692e+001°)
2.75422870333816e+003	(1.45176774637347e+002dB,-9.38978395300461e+001°)
2.81838293126445e+003	(1.44973580360739e+002dB,-9.40534890521381e+001°)
2.88403150312660e+003	(1.44770226146227e+002dB,-9.42111370400467e+001°)
2.95120922666638e+003	(1.44566705163354e+002dB,-9.43708563234195e+001°)
3.01995172040201e+003	(1.44363010254848e+002dB,-9.45327200948054e+001°)
3.09029543251359e+003	(1.44159133923937e+002dB,-9.46968018978524e+001°)
3.16227766016838e+003	(1.43955068321185e+002dB,-9.48631756124440e+001°)
3.23593656929628e+003	(1.43750805230825e+002dB,-9.50319154365384e+001°)
3.31131121482591e+003	(1.43546336056591e+002dB,-9.52030958645374e+001°)
3.38844156139202e+003	(1.43341651807033e+002dB,-9.53767916619369e+001°)
3.46736850452531e+003	(1.43136743080324e+002dB,-9.55530778359868e+001°)
3.54813389233575e+003	(1.42931600048541e+002dB,-9.57320296021671e+001°)
3.63078054770101e+003	(1.42726212441424e+002dB,-9.59137223461391e+001°)
3.71535229097172e+003	(1.42520569529614e+002dB,-9.60982315809519e+001°)
3.80189396320561e+003	(1.42314660107359e+002dB,-9.62856328991613e+001°)
3.89045144994280e+003	(1.42108472474703e+002dB,-9.64760019195851e+001°)
3.98107170553497e+003	(1.41901994419158e+002dB,-9.66694142283524e+001°)
4.07380277804112e+003	(1.41695213196850e+002dB,-9.68659453139106e+001°)
4.16869383470335e+003	(1.41488115513175e+002dB,-9.70656704956471e+001°)
4.26579518801592e+003	(1.41280687502944e+002dB,-9.72686648457587e+001°)
4.36515832240165e+003	(1.41072914710064e+002dB,-9.74750031039834e+001°)
4.46683592150962e+003	(1.40864782066734e+002dB,-9.76847595847948e+001°)
4.57088189614874e+003	(1.40656273872215e+002dB,-9.78980080766928e+001°)
4.67735141287197e+003	(1.40447373771163e+002dB,-9.81148217331162e+001°)
4.78630092322637e+003	(1.40238064731576e+002dB,-9.83352729546075e+001°)
4.89778819368445e+003	(1.40028329022377e+002dB,-9.85594332617388e+001°)
5.01187233627271e+003	(1.39818148190670e+002dB,-9.87873731583993e+001°)
5.12861383991364e+003	(1.39607503038708e+002dB,-9.90191619849474e+001°)
5.24807460249772e+003	(1.39396373600630e+002dB,-9.92548677607995e+001°)
5.37031796370252e+003	(1.39184739118997e+002dB,-9.94945570159825e+001°)
5.49540873857624e+003	(1.38972578021215e+002dB,-9.97382946111523e+001°)
5.62341325190348e+003	(1.38759867895877e+002dB,-9.99861435456796e+001°)
5.75439937337156e+003	(1.38546585469117e+002dB,-1.00238164753268e+002°)
5.88843655355588e+003	(1.38332706581038e+002dB,-1.00494416884699e+002°)
6.02559586074357e+003	(1.38118206162309e+002dB,-1.00754956077242e+002°)
6.16595001861481e+003	(1.37903058211013e+002dB,-1.01019835710301e+002°)
6.30957344480192e+003	(1.37687235769845e+002dB,-1.01289106146880e+002°)
